series,episode,baker_first_name,baker_last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper,technical,result,series_views
8,5,Julia,NA,NA,NA,NA,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,NA,NA,NA
8,5,Kate,NA,NA,NA,NA,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine,NA,NA,NA
8,5,Liam,NA,NA,NA,NA,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine,NA,NA,NA
8,5,Sophie,NA,NA,NA,NA,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",NA,NA,NA
8,5,Stacey,NA,NA,NA,NA,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,NA,NA,NA
8,5,Steven,NA,NA,NA,NA,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,NA,NA,NA
8,5,Yan,NA,NA,NA,NA,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine,NA,NA,NA
8,6,Julia,NA,NA,NA,NA,'Pies from the Tree' Decorative Pies,'Special Occasion' Pie,NA,NA,NA
8,6,Kate,NA,NA,NA,NA,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze,NA,NA,NA
8,6,Liam,NA,NA,NA,NA,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie,NA,NA,NA
8,6,Sophie,NA,NA,NA,NA,'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits,NA,NA,NA
8,6,Stacey,NA,NA,NA,NA,'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango,NA,NA,NA
8,6,Steven,NA,NA,NA,NA,'Fleetwood Mac' Decorative Pies,Christmas Pie,NA,NA,NA
8,6,Yan,NA,NA,NA,NA,'πr2' Decorative Pies,Chequerboard Pie,NA,NA,NA
8,7,Kate,NA,NA,NA,NA,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle,NA,NA,NA
8,7,Liam,NA,NA,NA,NA,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle,NA,NA,NA
8,7,Sophie,NA,NA,NA,NA,'Classics with a Twist' Cannoli,'Classics' Sfogliatelle,NA,NA,NA
8,7,Stacey,NA,NA,NA,NA,My All Time Favourite Desserts,Pastry Surprise,NA,NA,NA
8,7,Steven,NA,NA,NA,NA,Italian Style Cannoli,'Sicilian-style' Sfogliatelle,NA,NA,NA
8,7,Yan,NA,NA,NA,NA,Cannoli Cocktails,Canadian-Style Sfogliatelle,NA,NA,NA
8,8,Kate,NA,NA,NA,NA,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake,NA,NA,NA
8,8,Liam,NA,NA,NA,NA,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake,NA,NA,NA
8,8,Sophie,NA,NA,NA,NA,Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake,NA,NA,NA
8,8,Stacey,NA,NA,NA,NA,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake,NA,NA,NA
8,8,Steven,NA,NA,NA,NA,'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake,NA,NA,NA
8,9,Kate,NA,NA,NA,NA,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece,NA,NA,NA
8,9,Sophie,NA,NA,NA,NA,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,'Tutu with Opera Filling' Meringue Centrepiece,NA,NA,NA
8,9,Stacey,NA,NA,NA,NA,'Choux-nicorn and Choux-moji' Choux Buns,'Flamingos in Love' Meringue Centrepiece,NA,NA,NA
8,9,Steven,NA,NA,NA,NA,Key Lime Cheesecake and Bakewell Tart Choux Buns,'Some Air Over the Rainbow' Meringue Centrepiece,NA,NA,NA
8,10,Kate,NA,NA,NA,NA,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet",NA,NA,NA
8,10,Sophie,NA,NA,NA,NA,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet,NA,NA,NA
8,10,Steven,NA,NA,NA,NA,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet,NA,NA,NA
1,1,Annetha,NA,NA,NA,NA,NA,NA,2,IN,NA
1,1,David,NA,NA,NA,NA,NA,NA,3,IN,NA
1,1,Edd,NA,NA,NA,NA,NA,NA,1,IN,NA
1,1,Jasminder,NA,NA,NA,NA,NA,NA,NA,IN,NA
1,1,Jonathan,NA,NA,NA,NA,NA,NA,9,IN,NA
1,1,Louise,NA,NA,NA,NA,NA,NA,NA,IN,NA
1,1,Miranda,NA,NA,NA,NA,NA,NA,8,IN,NA
1,1,Ruth,NA,NA,NA,NA,NA,NA,NA,IN,NA
1,1,Lea,NA,NA,NA,NA,NA,NA,10,OUT,NA
1,1,Mark,NA,NA,NA,NA,NA,NA,NA,OUT,NA
1,2,David,NA,NA,NA,NA,NA,NA,8,IN,NA
1,2,Edd,NA,NA,NA,NA,NA,NA,6,IN,NA
1,2,Jasminder,NA,NA,NA,NA,NA,NA,2,IN,NA
1,2,Jonathan,NA,NA,NA,NA,NA,NA,1,IN,NA
1,2,Miranda,NA,NA,NA,NA,NA,NA,3,IN,NA
1,2,Ruth,NA,NA,NA,NA,NA,NA,5,IN,NA
1,2,Annetha,NA,NA,NA,NA,NA,NA,7,OUT,NA
1,2,Louise,NA,NA,NA,NA,NA,NA,4,OUT,NA
1,2,Lea,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,Mark,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,David,NA,NA,NA,NA,NA,NA,4,IN,NA
1,3,Edd,NA,NA,NA,NA,NA,NA,1,IN,NA
1,3,Jasminder,NA,NA,NA,NA,NA,NA,5,IN,NA
1,3,Miranda,NA,NA,NA,NA,NA,NA,3,IN,NA
1,3,Ruth,NA,NA,NA,NA,NA,NA,2,IN,NA
1,3,Jonathan,NA,NA,NA,NA,NA,NA,6,OUT,NA
1,3,Annetha,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,Lea,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,Louise,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,Mark,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,Edd,NA,NA,NA,NA,NA,NA,3,IN,NA
1,4,Jasminder,NA,NA,NA,NA,NA,NA,2,IN,NA
1,4,Miranda,NA,NA,NA,NA,NA,NA,1,IN,NA
1,4,Ruth,NA,NA,NA,NA,NA,NA,4,IN,NA
1,4,David,NA,NA,NA,NA,NA,NA,5,OUT,NA
1,4,Annetha,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,Jonathan,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,Lea,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,Louise,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,Mark,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,Edd,NA,NA,NA,NA,NA,NA,2,IN,NA
1,5,Miranda,NA,NA,NA,NA,NA,NA,1,IN,NA
1,5,Ruth,NA,NA,NA,NA,NA,NA,3,IN,NA
1,5,Jasminder,NA,NA,NA,NA,NA,NA,4,OUT,NA
1,5,Annetha,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,David,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,Jonathan,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,Lea,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,Louise,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,Mark,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,Miranda,NA,NA,NA,NA,NA,NA,NA,Runner-up,NA
1,6,Ruth,NA,NA,NA,NA,NA,NA,NA,Runner-up,NA
1,6,Edd,NA,NA,NA,NA,NA,NA,NA,STAR BAKER,NA
1,6,Annetha,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,David,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,Jasminder,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,Jonathan,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,Lea,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,Louise,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,Mark,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,Ben,NA,NA,NA,NA,NA,NA,2,IN,NA
2,1,Ian,NA,NA,NA,NA,NA,NA,10,IN,NA
2,1,Janet,NA,NA,NA,NA,NA,NA,8,IN,NA
2,1,Jason,NA,NA,NA,NA,NA,NA,6,IN,NA
2,1,Joanne,NA,NA,NA,NA,NA,NA,11,IN,NA
2,1,Mary-Anne,NA,NA,NA,NA,NA,NA,4,IN,NA
2,1,Robert,NA,NA,NA,NA,NA,NA,3,IN,NA
2,1,Simon,NA,NA,NA,NA,NA,NA,9,IN,NA
2,1,Urvashi,NA,NA,NA,NA,NA,NA,7,IN,NA
2,1,Yasmin,NA,NA,NA,NA,NA,NA,5,IN,NA
2,1,Keith,NA,NA,NA,NA,NA,NA,12,OUT,NA
2,1,Holly,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
2,2,Ben,NA,NA,NA,NA,NA,NA,1,IN,NA
2,2,Holly,NA,NA,NA,NA,NA,NA,4,IN,NA
2,2,Ian,NA,NA,NA,NA,NA,NA,2,IN,NA
2,2,Janet,NA,NA,NA,NA,NA,NA,8,IN,NA
2,2,Joanne,NA,NA,NA,NA,NA,NA,10,IN,NA
2,2,Mary-Anne,NA,NA,NA,NA,NA,NA,9,IN,NA
2,2,Robert,NA,NA,NA,NA,NA,NA,5,IN,NA
2,2,Urvashi,NA,NA,NA,NA,NA,NA,7,IN,NA
2,2,Yasmin,NA,NA,NA,NA,NA,NA,6,IN,NA
2,2,Simon,NA,NA,NA,NA,NA,NA,11,OUT,NA
2,2,Jason,NA,NA,NA,NA,NA,NA,3,STAR BAKER,NA
2,2,Keith,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,Ben,NA,NA,NA,NA,NA,NA,3,IN,NA
2,3,Holly,NA,NA,NA,NA,NA,NA,6,IN,NA
2,3,Janet,NA,NA,NA,NA,NA,NA,8,IN,NA
2,3,Jason,NA,NA,NA,NA,NA,NA,7,IN,NA
2,3,Joanne,NA,NA,NA,NA,NA,NA,1,IN,NA
2,3,Mary-Anne,NA,NA,NA,NA,NA,NA,5,IN,NA
2,3,Robert,NA,NA,NA,NA,NA,NA,4,IN,NA
2,3,Ian,NA,NA,NA,NA,NA,NA,10,OUT,NA
2,3,Urvashi,NA,NA,NA,NA,NA,NA,9,OUT,NA
2,3,Yasmin,NA,NA,NA,NA,NA,NA,2,STAR BAKER,NA
2,3,Keith,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,Simon,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,Janet,NA,NA,NA,NA,NA,NA,4,IN,NA
2,4,Joanne,NA,NA,NA,NA,NA,NA,8,IN,NA
2,4,Mary-Anne,NA,NA,NA,NA,NA,NA,2,IN,NA
2,4,Robert,NA,NA,NA,NA,NA,NA,7,IN,NA
2,4,Yasmin,NA,NA,NA,NA,NA,NA,6,IN,NA
2,4,Ben,NA,NA,NA,NA,NA,NA,5,OUT,NA
2,4,Holly,NA,NA,NA,NA,NA,NA,3,STAR BAKER,NA
2,4,Jason,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
2,4,Ian,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,Keith,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,Simon,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,Urvashi,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,Holly,NA,NA,NA,NA,NA,NA,4,IN,NA
2,5,Joanne,NA,NA,NA,NA,NA,NA,6,IN,NA
2,5,Mary-Anne,NA,NA,NA,NA,NA,NA,2,IN,NA
2,5,Yasmin,NA,NA,NA,NA,NA,NA,5,IN,NA
2,5,Jason,NA,NA,NA,NA,NA,NA,7,OUT,NA
2,5,Robert,NA,NA,NA,NA,NA,NA,3,OUT,NA
2,5,Janet,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
2,5,Ben,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,Ian,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,Keith,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,Simon,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,Urvashi,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,Holly,NA,NA,NA,NA,NA,NA,3,IN,NA
2,6,Janet,NA,NA,NA,NA,NA,NA,5,IN,NA
2,6,Mary-Anne,NA,NA,NA,NA,NA,NA,4,IN,NA
2,6,Yasmin,NA,NA,NA,NA,NA,NA,2,OUT,NA
2,6,Joanne,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
2,6,Ben,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,Ian,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,Jason,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,Keith,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,Robert,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,Simon,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,Urvashi,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,Holly,NA,NA,NA,NA,NA,NA,1,IN,NA
2,7,Joanne,NA,NA,NA,NA,NA,NA,3,IN,NA
2,7,Mary-Anne,NA,NA,NA,NA,NA,NA,2,IN,NA
2,7,Janet,NA,NA,NA,NA,NA,NA,4,OUT,NA
2,7,Ben,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,Ian,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,Jason,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,Keith,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,Robert,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,Simon,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,Urvashi,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,7,Yasmin,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,Holly,NA,NA,NA,NA,NA,NA,2,Runner-up,NA
2,8,Mary-Anne,NA,NA,NA,NA,NA,NA,3,Runner-up,NA
2,8,Joanne,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
2,8,Ben,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,Ian,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,Janet,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,Jason,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,Keith,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,Robert,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,Simon,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,Urvashi,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,Yasmin,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,Brendan,NA,NA,NA,NA,NA,NA,10,IN,NA
3,1,Cathryn,NA,NA,NA,NA,NA,NA,5,IN,NA
3,1,Danny,NA,NA,NA,NA,NA,NA,7,IN,NA
3,1,James,NA,NA,NA,NA,NA,NA,2,IN,NA
3,1,John,NA,NA,NA,NA,NA,NA,11,IN,NA
3,1,Manisha,NA,NA,NA,NA,NA,NA,6,IN,NA
3,1,Peter,NA,NA,NA,NA,NA,NA,3,IN,NA
3,1,Ryan,NA,NA,NA,NA,NA,NA,8,IN,NA
3,1,Sarah-Jane,NA,NA,NA,NA,NA,NA,1,IN,NA
3,1,Stuart,NA,NA,NA,NA,NA,NA,9,IN,NA
3,1,Natasha,NA,NA,NA,NA,NA,NA,12,OUT,NA
3,1,Victoria,NA,NA,NA,NA,NA,NA,4,STAR BAKER,NA
3,2,Brendan,NA,NA,NA,NA,NA,NA,4,IN,NA
3,2,Cathryn,NA,NA,NA,NA,NA,NA,8,IN,NA
3,2,Danny,NA,NA,NA,NA,NA,NA,3,IN,NA
3,2,James,NA,NA,NA,NA,NA,NA,2,IN,NA
3,2,Manisha,NA,NA,NA,NA,NA,NA,6,IN,NA
3,2,Ryan,NA,NA,NA,NA,NA,NA,5,IN,NA
3,2,Sarah-Jane,NA,NA,NA,NA,NA,NA,10,IN,NA
3,2,Stuart,NA,NA,NA,NA,NA,NA,9,IN,NA
3,2,Victoria,NA,NA,NA,NA,NA,NA,7,IN,NA
3,2,Peter,NA,NA,NA,NA,NA,NA,11,OUT,NA
3,2,John,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
3,2,Natasha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,Brendan,NA,NA,NA,NA,NA,NA,9,IN,NA
3,3,Cathryn,NA,NA,NA,NA,NA,NA,3,IN,NA
3,3,Danny,NA,NA,NA,NA,NA,NA,2,IN,NA
3,3,John,NA,NA,NA,NA,NA,NA,6,IN,NA
3,3,Manisha,NA,NA,NA,NA,NA,NA,10,IN,NA
3,3,Ryan,NA,NA,NA,NA,NA,NA,5,IN,NA
3,3,Sarah-Jane,NA,NA,NA,NA,NA,NA,8,IN,NA
3,3,Stuart,NA,NA,NA,NA,NA,NA,7,IN,NA
3,3,Victoria,NA,NA,NA,NA,NA,NA,4,OUT,NA
3,3,James,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
3,3,Natasha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,Peter,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,Cathryn,NA,NA,NA,NA,NA,NA,3,IN,NA
3,4,Danny,NA,NA,NA,NA,NA,NA,2,IN,NA
3,4,James,NA,NA,NA,NA,NA,NA,5,IN,NA
3,4,John,NA,NA,NA,NA,NA,NA,6,IN,NA
3,4,Manisha,NA,NA,NA,NA,NA,NA,9,IN,NA
3,4,Ryan,NA,NA,NA,NA,NA,NA,7,IN,NA
3,4,Sarah-Jane,NA,NA,NA,NA,NA,NA,4,IN,NA
3,4,Stuart,NA,NA,NA,NA,NA,NA,8,OUT,NA
3,4,Brendan,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
3,4,Natasha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,Peter,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,Brendan,NA,NA,NA,NA,NA,NA,3,IN,NA
3,5,Cathryn,NA,NA,NA,NA,NA,NA,1,IN,NA
3,5,Danny,NA,NA,NA,NA,NA,NA,7,IN,NA
3,5,James,NA,NA,NA,NA,NA,NA,6,IN,NA
3,5,John,NA,NA,NA,NA,NA,NA,2,IN,NA
3,5,Sarah-Jane,NA,NA,NA,NA,NA,NA,4,IN,NA
3,5,Manisha,NA,NA,NA,NA,NA,NA,5,OUT,NA
3,5,Ryan,NA,NA,NA,NA,NA,NA,8,STAR BAKER,NA
3,5,Natasha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,Peter,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,Stuart,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,6,Cathryn,NA,NA,NA,NA,NA,NA,3,IN,NA
3,6,Danny,NA,NA,NA,NA,NA,NA,2,IN,NA
3,6,James,NA,NA,NA,NA,NA,NA,7,IN,NA
3,6,John,NA,NA,NA,NA,NA,NA,5,IN,NA
3,6,Ryan,NA,NA,NA,NA,NA,NA,6,IN,NA
3,6,Sarah-Jane,NA,NA,NA,NA,NA,NA,4,IN,NA
3,6,Brendan,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
3,6,Manisha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,6,Natasha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,6,Peter,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,6,Stuart,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,6,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,Brendan,NA,NA,NA,NA,NA,NA,4,IN,NA
3,7,Cathryn,NA,NA,NA,NA,NA,NA,5,IN,NA
3,7,James,NA,NA,NA,NA,NA,NA,1,IN,NA
3,7,John,NA,NA,NA,NA,NA,NA,3,IN,NA
3,7,Ryan,NA,NA,NA,NA,NA,NA,6,OUT,NA
3,7,Sarah-Jane,NA,NA,NA,NA,NA,NA,7,OUT,NA
3,7,Danny,NA,NA,NA,NA,NA,NA,2,STAR BAKER,NA
3,7,Manisha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,Natasha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,Peter,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,Stuart,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,7,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,Brendan,NA,NA,NA,NA,NA,NA,2,IN,NA
3,8,Danny,NA,NA,NA,NA,NA,NA,4,IN,NA
3,8,John,NA,NA,NA,NA,NA,NA,3,IN,NA
3,8,Cathryn,NA,NA,NA,NA,NA,NA,5,OUT,NA
3,8,James,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
3,8,Manisha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,Natasha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,Peter,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,Ryan,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,Sarah-Jane,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,Stuart,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,8,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,Brendan,NA,NA,NA,NA,NA,NA,3,IN,NA
3,9,John,NA,NA,NA,NA,NA,NA,2,IN,NA
3,9,Danny,NA,NA,NA,NA,NA,NA,4,OUT,NA
3,9,James,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
3,9,Cathryn,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,Manisha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,Natasha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,Peter,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,Ryan,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,Sarah-Jane,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,Stuart,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,9,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,Brendan,NA,NA,NA,NA,NA,NA,2,Runner-up,NA
3,10,James,NA,NA,NA,NA,NA,NA,1,Runner-up,NA
3,10,John,NA,NA,NA,NA,NA,NA,2,STAR BAKER,NA
3,10,Cathryn,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,Danny,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,Manisha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,Natasha,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,Peter,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,Ryan,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,Sarah-Jane,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,Stuart,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,10,Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,Ali,NA,NA,NA,NA,NA,NA,11,IN,NA
4,1,Beca,NA,NA,NA,NA,NA,NA,8,IN,NA
4,1,Christine,NA,NA,NA,NA,NA,NA,3,IN,NA
4,1,Deborah,NA,NA,NA,NA,NA,NA,9,IN,NA
4,1,Frances,NA,NA,NA,NA,NA,NA,7,IN,NA
4,1,Glenn,NA,NA,NA,NA,NA,NA,4,IN,NA
4,1,Howard,NA,NA,NA,NA,NA,NA,6,IN,NA
4,1,Kimberley,NA,NA,NA,NA,NA,NA,10,IN,NA
4,1,Lucy,NA,NA,NA,NA,NA,NA,2,IN,NA
4,1,Mark,NA,NA,NA,NA,NA,NA,5,IN,NA
4,1,Ruby,NA,NA,NA,NA,NA,NA,12,IN,NA
4,1,Toby,NA,NA,NA,NA,NA,NA,13,OUT,NA
4,1,Robert,NA,NA,NA,NA,NA,NA,1,STAR BAKER,NA
4,2,Ali,NA,NA,NA,NA,NA,NA,9,IN,NA
4,2,Beca,NA,NA,NA,NA,NA,NA,11,IN,NA
4,2,Christine,NA,NA,NA,NA,NA,NA,4,IN,NA
4,2,Deborah,NA,NA,NA,NA,NA,NA,8,IN,NA
4,2,Frances,NA,NA,NA,NA,NA,NA,2,IN,NA
4,2,Glenn,NA,NA,NA,NA,NA,NA,7,IN,NA
4,2,Howard,NA,NA,NA,NA,NA,NA,10,IN,NA
4,2,Kimberley,NA,NA,NA,NA,NA,NA,1,IN,NA
4,2,Mark,NA,NA,NA,NA,NA,NA,6,IN,NA
4,2,Robert,NA,NA,NA,NA,NA,NA,5,IN,NA
4,2,Lucy,NA,NA,NA,NA,NA,NA,12,OUT,NA
4,2,Ruby,NA,NA,NA,NA,NA,NA,3,STAR BAKER,NA
4,2,Toby,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,Ali,NA,NA,NA,NA,NA,NA,5,IN,NA
4,3,Beca,NA,NA,NA,NA,NA,NA,10,IN,NA
4,3,Frances,NA,NA,NA,NA,NA,NA,8,IN,NA
4,3,Glenn,NA,NA,NA,NA,NA,NA,1,IN,NA
4,3,Howard,NA,NA,NA,NA,NA,NA,7,IN,NA
4,3,Kimberley,NA,NA,NA,NA,NA,NA,6,IN,NA
4,3,Robert,NA,NA,NA,NA,NA,NA,2,IN,NA
4,3,Ruby,NA,NA,NA,NA,NA,NA,3,IN,NA
4,3,Deborah,NA,NA,NA,NA,NA,NA,9,OUT,NA
4,3,Mark,NA,NA,NA,NA,NA,NA,11,OUT,NA
4,3,Christine,NA,NA,NA,NA,NA,NA,4,STAR BAKER,NA
4,3,Lucy,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,Toby,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,Beca,NA,NA,NA,NA,NA,NA,2,IN,NA
4,4,Christine,NA,NA,NA,NA,NA,NA,7,IN,NA
4,4,Frances,NA,NA,NA,NA,NA,NA,1,IN,NA
4,4,Glenn,NA,NA,NA,NA,NA,NA,9,IN,NA
4,4,Howard,NA,NA,NA,NA,NA,NA,5,IN,NA
4,4,Robert,NA,NA,NA,NA,NA,NA,3,IN,NA
4,4,Ruby,NA,NA,NA,NA,NA,NA,6,IN,NA
4,4,Ali,NA,NA,NA,NA,NA,NA,8,OUT,NA
4,4,Kimberley,NA,NA,NA,NA,NA,NA,4,STAR BAKER,NA
4,4,Deborah,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,Lucy,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,Mark,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,Toby,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,Beca,NA,NA,NA,NA,NA,NA,5,IN,NA
4,5,Frances,NA,NA,NA,NA,NA,NA,3,IN,NA
4,5,Glenn,NA,NA,NA,NA,NA,NA,2,IN,NA
